一了心愿,一了心願
一爭兩丑,一爭兩醜
一伙,一夥
一伙人,一夥人
一伙頭,一夥頭
一償宿愿,一償宿願
一出劇,一齣劇
一出子,一齣子
一出戲,一齣戲
一分收獲,一分收穫
一別頭,一彆頭
一前一后,一前一後
一厘一毫,一釐一毫
一廂情愿,一廂情願
一發之差,一髮之差
一發之間,一髮之間
一發千鈞,一髮千鈞
一只,一隻
一周,一週
一周天,一週天
一周年,一週年
一哄,一鬨
一哄而散,一鬨而散
一地里,一地裏
一塊面,一塊麪
一壇,一罈
一壇壇,一罈罈
一塌糊涂,一塌糊塗
一大伙,一大夥
一天后,一天後
一干二凈,一乾二淨
一干而盡,一乾而盡
一并,一併
一扎,一紮
一斗再斗,一鬥再鬥
一日叫娘,一日叫孃
一時糊涂,一時糊塗
一桿,一杆
一杠,一槓
一松,一鬆
一柜,一櫃
一樹百獲,一樹百穫
一根煙,一根菸
一毫一發,一毫一髮
一沐三捉發,一沐三捉髮
一沐三握發,一沐三握髮
一涂,一塗
一游,一遊
一物克一物,一物剋一物
一目了然,一目瞭然
一相情愿,一相情願
一碗面,一碗麪
一箭雙雕,一箭雙鵰
一至于此,一至於此
一見鐘情,一見鍾情
一敗涂地,一敗塗地
一贊,一讚
一起干,一起幹
一遞里,一遞裏
一逞獸欲,一逞獸慾
一里一外,一裏一外
一鍋面,一鍋麪
丁鈴當啷,丁鈴噹啷
七余,七餘
七八下里,七八下裏
七只,七隻
七周,七週
七壇,七罈
七天后,七天後
七娘媽,七孃媽
七弦,七絃
七情六欲,七情六慾
七扎,七紮
七政四余,七政四餘
萬眾,萬衆
萬眾一心,萬衆一心
萬眾歡騰,萬衆歡騰
萬眾矚目,萬衆矚目
萬余,萬餘
萬余只,萬餘隻
萬余里,萬餘里
萬俟,万俟
萬歷,萬曆
萬只,萬隻
萬圣節,萬聖節
萬壇,萬罈
萬天后,萬天後
萬年歷,萬年曆
萬年歷表,萬年曆錶
萬惡淫為首,萬惡淫爲首
萬扎,萬紮
萬旗,万旗
萬簽插架,萬籤插架
萬花爭艷,萬花爭豔
萬里無云,萬里無雲
萬里春愁直,萬裏春愁直
萬馀,萬餘
丈余,丈餘
丈母娘,丈母孃
三余,三餘
三只,三隻
三只手,三隻手
三周,三週
三周年,三週年
三復,三複
三天后,三天後
三娘教子,三孃教子
三對三斗牛,三對三鬥牛
三弦,三絃
三征七辟,三徵七辟
三思而后,三思而後
三思而后行,三思而後行
三扎,三紮
三折肱為良醫,三折肱爲良醫
三月里的桃花,三月裏的桃花
三桿,三杆
三杠,三槓
三江并流,三江並流
三涂,三塗
三百馀萬,三百餘萬
三統歷,三統曆
三腳采茶戲,三腳採茶戲
三角關系,三角關係
三角巾包扎法,三角巾包紮法
三門干部,三門幹部
上不了臺面,上不了檯面
上不得臺盤,上不得檯盤
上沖,上衝
上升為,上升爲
上合屋,上閤屋
上周,上週
上復,上覆
上層建筑,上層建築
上市柜,上市櫃
上杠,上槓
上柜,上櫃
上梁,上樑
上梁不正,上樑不正
上梁不正下梁歪,上樑不正下樑歪
上簽,上籤
上鏈,上鍊
下于,下於
下侖路,下崙路
下沖,下衝
下周,下週
下咽,下嚥
下城里,下城裏
下手干,下手幹
下擺,下襬
下梁,下樑
下注解,下註解
下簽,下籤
下課后,下課後
下面,下面 下麪
不上臺盤,不上檯盤
不下于,不下於
不丑,不醜
不中于款,不中於款
不為牛后,不爲牛後
不為米折腰,不爲米折腰
不樂于,不樂於
不了解,不瞭解
不克制,不剋制
不全癥,不全症
不準,不準 不准
不準他,不准他
不準你,不准你
不準她,不准她
不準它,不准它
不準我,不准我
不準沒,不准沒
不準翻印,不准翻印
不準許,不准許
不準誰,不准誰
不準問,不准問
不分青紅皂白,不分青紅皁白
不劃算,不划算
不利于,不利於
不前不后,不前不後
不占,不佔
不占兇吉,不占凶吉
不占吉兇,不占吉凶
不合群,不合羣
不吊,不弔
不同于,不同於
不善于,不善於
不多于,不多於
不嫌母丑,不嫌母醜
不孕癥,不孕症
不孝有三無后為大,不孝有三無後爲大
不安于位,不安於位
不安于室,不安於室
不寒而栗,不寒而慄
不小于,不小於
不少于,不少於
不屑于,不屑於
不屬于,不屬於
不差毫厘,不差毫釐
不差毫發,不差毫髮
不干,不幹 不乾
不干不凈,不乾不淨
不干不淨吃了沒病,不乾不淨吃了沒病
不干了,不幹了
不干事,不幹事
不干凈,不乾淨
不干性,不乾性
不干杯,不乾杯
不干渴,不乾渴
不干著急,不乾着急
不干膠,不乾膠
不干脆,不乾脆
不干裂,不乾裂
不并,不併
不形于色,不形於色
不得臺盤,不得檯盤
不得閑,不得閒
不情不愿,不情不願
不情愿,不情願
不憚強御,不憚強禦
不愿,不願
不愿意,不願意
不托,不託
不放松,不放鬆
不敢后人,不敢後人
不斗,不鬥
不明就里,不明就裏
不松下,不鬆下
不止于此,不止於此
不正當關系,不正當關係
不治之癥,不治之症
不測風云,不測風雲
不涂,不塗
不甘于,不甘於
不甘后人,不甘後人
不用干,不用幹
不用斗了,不用鬥了
不畏強御,不畏強禦
不畏彊御,不畏彊禦
不等于,不等於
不管閑事,不管閒事
不系,不繫
不系舟,不繫舟
不絕于耳,不絕於耳
不育癥,不育症
不至于,不至於
不致于,不致於
不舍,不捨
不舍得,不捨得
不舍晝夜,不捨晝夜
不良于行,不良於行
不藥而愈,不藥而癒
不落人后,不落人後
不規范,不規範
不讓須眉,不讓鬚眉
不識閑,不識閒
不谷,不穀
不贊,不讚
不贊一詞,不讚一詞
不贊一辭,不讚一辭
不足為據,不足爲據
不足之癥,不足之症
不足采信,不足採信
不遜于,不遜於
不通吊慶,不通弔慶
不遺余力,不遺餘力
不避彊御,不避彊禦
不采,不採
不銹鋼,不鏽鋼
不銹鋼板,不鏽鋼板
不問前因后果,不問前因後果
不限于,不限於
不顧前后,不顧前後
不顧后果,不顧後果
不顧閑野,不顧閒野
不食干臘,不食乾腊
與他一斗,與他一鬥
與眾不同,與衆不同
與克制,與剋制
與她一斗,與她一鬥
丑丑,醜醜
丑丫頭,醜丫頭
丑事,醜事
丑于,醜於
丑人,醜人
丑人多作怪,醜人多作怪
丑儕,醜儕
丑八怪,醜八怪
丑剌剌,醜剌剌
丑劇,醜劇
丑化,醜化
丑史,醜史
丑名,醜名
丑咤,醜吒
丑地,醜地
丑聲,醜聲
丑聲四溢,醜聲四溢
丑聲遠播,醜聲遠播
丑頭怪臉,醜頭怪臉
丑夷,醜夷
丑女,醜女
丑女人,醜女人
丑女效顰,醜女效顰
丑奴兒,醜奴兒
丑婦,醜婦
丑媳,醜媳
丑媳婦,醜媳婦
丑媳婦總得要見公婆,醜媳婦總得要見公婆
丑小鴨,醜小鴨
丑巴怪,醜巴怪
丑徒,醜徒
丑態,醜態
丑態畢露,醜態畢露
丑態百出,醜態百出
丑怪,醜怪
丑惡,醜惡
丑末,醜末
丑雜,醜雜
丑樣,醜樣
