# ConvertZZ：dcard 語料裡「原文簡體 → 應為繁體」的整詞對。
# 來源：zht.corpus.synonym.txt 逐筆對 pairs.tsv／dcard.txt 例句核對。
# 格式：簡體,繁體
# 不做字元暴力掃描；腳本另有一份已核對的單字表，處理同文其他簡化字。
#
# 刻意不收（不是簡體混入）：
# - 繁體異體／舊字形（即使不在 Big5）：傅崐萁、因爲、那裏、産量、衆人、説到、僞政權、張啓凱、祕/秘
# - 一簡多繁、本體就是繁體：公里/里長/德里、出征、划算、范琪斐、周杰倫、小丑、尸位、市占率
# - 地名／口語 庄：頂庄、下庄哦（庄翠雲除外，那是簡體文裡的姓氏）
# - 云／于：蘇思云、古語云、于筑庭（云林、由于除外）

两岸,兩岸
中国,中國
主观,主觀
人选,人選
你们,你們
倡议,倡議
倾向于,傾向於
倾向於,傾向於
党主席,黨主席
党內,黨內
党籍,黨籍
关係,關係
关系,關係
内政部长,內政部長
内部,內部
再来,再來
别人,別人
加强,加強
县长,縣長
反对,反對
哔哩哔哩,嗶哩嗶哩
启动,啟動
啟动,啟動
国民黨,國民黨
国际,國際
外国,外國
大陆,大陸
太阳,太陽
委员,委員
委员会,委員會
实质性,實質性
对付,對付
并不,並不
并没有,並沒有
并沒有,並沒有
并非,並非
庄翠,莊翠
建议,建議
开盘,開盤
张景森,張景森
徐国勇,徐國勇
态度,態度
执政党,執政黨
投资,投資
投资者,投資者
担任,擔任
推动,推動
政党,政黨
政务,政務
曾经,曾經
构建,構建
民进,民進
民進党,民進黨
没有,沒有
海峡,海峽
王国,王國
环境,環境
由于,由於
發现,發現
监督,監督
积极,積極
立场,立場
纪录片,紀錄片
经济部长,經濟部長
绿油油,綠油油
绿蛆,綠蛆
美国,美國
胜任,勝任
苏治芬,蘇治芬
虚偽,虛偽
观点,觀點
觉得,覺得
言论,言論
说服,說服
财政部长,財政部長
转变,轉變
还有,還有
还要,還要
这些,這些
退党,退黨
邀请,邀請
邓振中,鄧振中
部长,部長
陆委,陸委
養猪,養豬
高层,高層
黄國昌,黃國昌
云林,雲林
台湾,台灣
想着,想著
等着,等著
什么,什麼
那么,那麼
餅干,餅乾
面包,麵包
