// ConvertZZ 額外分詞表（詞|詞性|權值）。正字、錯字與其簡體詞形都寫入。不得併入套件檔。
一人份|0x320000|8
一人分|0x320000|8
一份份|0x300000|5
一分分|0x300000|5
一係|0x301000|5
一系|0x301000|5
一兩份|0x300000|8
一两分|0x300000|8
一兩分|0x300000|8
一兩隻|0x300000|5
一两只|0x300000|5
一兩只|0x300000|5
一公釐|0x300000|21
一公厘|0x300000|21
一千份|0x300000|8
一千分|0x300000|8
一年份|0x4000|34
一年分|0x4000|34
一採|0x100000|7
一采|0x100000|7
一曬|0x100000|7
一晒|0x100000|7
一月份|0x324000|90
一月分|0x324000|90
一桿|0x100000|5
一杆|0x100000|5
一沖|0x100000|21
一冲|0x100000|21
一衝|0x100000|21
一瓶年份|0x4000|10
一瓶年分|0x4000|10
一百二十份|0x300000|30
一百二十分|0x300000|30
一百五十份|0x300000|10
一百五十分|0x300000|10
一百隻|0x300000|7
一百只|0x300000|7
一直乾|0x1000|9
一直干|0x1000|9
一直幹|0x1000|9
一蹴可幾|0x1001000|6
一蹴可几|0x1001000|6
七月份|0x4000|104
七月分|0x4000|104
七隻|0x300000|7
七只|0x300000|7
三公釐|0x300000|50
三公厘|0x300000|50
三十幾份|0x300000|5
三十几分|0x300000|5
三十幾分|0x300000|5
三十隻|0x300000|5
三十只|0x300000|5
三千份|0x300000|14
三千分|0x300000|14
三於|0x100000|13
三于|0x100000|13
三月份|0x320000|410
三月分|0x320000|410
三百二十份|0x300000|5
三百二十分|0x300000|5
三百六十份|0x300000|5
三百六十分|0x300000|5
上乾|0x100000|5
上干|0x100000|5
上佔|0x100000|5
上占|0x100000|5
上劃|0x100000|94
上划|0x100000|94
上唸|0x100000|6
上念|0x100000|6
上塗|0x100000|20
上凃|0x100000|20
上彙|0x100000|9
上汇|0x100000|9
上匯|0x100000|9
上於|0x100000|18
上于|0x100000|18
上曬|0x100000|13
上晒|0x100000|13
上月份|0x100000|14
上月分|0x100000|14
上槓|0x100000|23
上杠|0x100000|23
上繫|0x100000|9
上系|0x100000|9
上註|0x100000|1537
上注|0x100000|1537
上鉤|0x1000|32
上钩|0x1000|32
上鈎|0x1000|32
上雲|0x100000|11
上云|0x100000|11
上鹹|0x100000|11
上咸|0x100000|11
下嚥|0x1000|6
下咽|0x1000|6
下城裡|0x100000|6
下城里|0x100000|6
下採|0x100000|5
下采|0x100000|5
下於|0x100000|18
下于|0x100000|18
下曬|0x100000|105
下晒|0x100000|105
下槓|0x100000|5
下杠|0x100000|5
下籤|0x100000|9
下签|0x100000|9
下簽|0x100000|9
下街裡|0x100000|5
下街里|0x100000|5
下鬆|0x100000|15
下松|0x100000|15
不佔|0x1000|54
不占|0x1000|54
不劃|0x100000|5
不划|0x100000|5
不採|0x100000|15
不采|0x100000|15
不於|0x100000|8
不于|0x100000|8
不會乾|0x1000|27
不会干|0x1000|27
不會幹|0x1000|27
不繫|0x100000|17
不系|0x100000|17
不製|0x100000|5
不制|0x100000|5
不複|0x1000|49
不复|0x1000|49
不復|0x1000|49
不鏽鋼板|0x100000|16
不锈钢板|0x100000|16
不銹鋼板|0x100000|16
不鏽鋼網|0x100000|5
不锈钢网|0x100000|5
不銹鋼網|0x100000|5
且劃|0x100000|5
且划|0x100000|5
且塗|0x100000|10
且凃|0x100000|10
且後|0x100000|18
且后|0x100000|18
且採|0x100000|21
且采|0x100000|21
且殼|0x100000|14
且壳|0x100000|14
且殻|0x100000|14
且準|0x100000|24
且准|0x100000|24
且製|0x100000|8
且制|0x100000|8
且鹹|0x100000|6
且咸|0x100000|6
丙於|0x100000|8
丙于|0x100000|8
並劃|0x100000|15
并划|0x100000|15
並划|0x100000|15
並塗|0x100000|16
并凃|0x100000|16
並凃|0x100000|16
并涂|0x100000|16
並彙|0x100000|58
并汇|0x100000|58
並匯|0x100000|58
並採|0x100000|10
并采|0x100000|10
並采|0x100000|10
並摺|0x100000|13
并折|0x100000|13
並折|0x100000|13
並沖|0x100000|7
并冲|0x100000|7
並衝|0x100000|7
並繫|0x100000|30
并系|0x100000|30
並系|0x100000|30
並製|0x100000|8
并制|0x100000|8
並制|0x100000|8
並註|0x100000|219
并注|0x100000|219
並注|0x100000|219
中乾|0x100000|5
中干|0x100000|5
中佔|0x100000|99
中占|0x100000|99
中併|0x100000|6
中并|0x100000|6
中並|0x100000|6
中塗|0x100000|70
中凃|0x100000|70
中崙|0x100000|25
中仑|0x100000|25
中侖|0x100000|25
中彙|0x100000|23
中汇|0x100000|23
中匯|0x100000|23
中心裡|0x100000|123
中心里|0x100000|123
中於|0x100000|67
中于|0x100000|67
中註|0x100000|827
中注|0x100000|827
中颱|0x100000|21
中台|0x100000|21
丰的|0x100000|5
豐的|0x100000|5
主於|0x100000|9
主于|0x100000|9
主樑|0x100000|211
主梁|0x100000|211
之乾|0x100000|13
之干|0x100000|13
之佔|0x100000|5
之占|0x100000|5
之劃|0x100000|91
之划|0x100000|91
之塗|0x100000|63
之凃|0x100000|63
之幾|0x100000|15
之几|0x100000|15
之彙|0x100000|27
之汇|0x100000|27
之匯|0x100000|27
之採|0x100000|5
之采|0x100000|5
之沖|0x100000|6
之冲|0x100000|6
之衝|0x100000|6
之籤|0x100000|8
之签|0x100000|8
之簽|0x100000|8
之繫|0x100000|8
之系|0x100000|8
之製|0x100000|26
之制|0x100000|26
之複|0x100000|5
之复|0x100000|5
之復|0x100000|5
之註|0x100000|11
之注|0x100000|11
之鍊|0x100000|18
之炼|0x100000|18
之煉|0x100000|18
