// ConvertZZ 額外修正（新式分詞 convert_synonym 之後套用）
// 由繁體語料經套件引擎 T2S→S2T 後，以分詞對齊產生。
// 不得寫入 segment-dict 或 cjk-convert-rs 套件資料。
// 格式：正字,錯字,...  套用時只取代分詞後的整詞，不做字串暴力取代。
一份,一分
一鎚,一錘
七里,七裡
三隻,三只
上檯,上台
上萬隻,上萬只
上鉤,上鈎
下臺,下台
不準,不准
不遠千里,不遠千裡
不遠萬里,不遠萬裡
主席臺,主席台
乾嗎,幹嗎
乾爹,干爹
乾的,幹的
乾薪,干薪
乾飯,干飯
事蹟,事跡
于筑,于築
云云,雲雲
五十公里,五十公裡
亞里,亞裡
什麽,什麼
代議制,代議製
以夷制夷,以夷製夷
以爲,以為
份子,分子
份量,分量
份額,分額
仿佛,仿彿
佔了,占了
佔理,占理
作噁,作惡
佩里,佩裡
佳芸,佳藝
併入,並入
併存,並存
併行,並行
併購,並購
便秘,便祕
係指,系指
係數,系數
保險桿,保險杆
倖免,幸免
傅崐萁,傅昆萁
傅崐萁嗆,傅昆萁嗆
傅崑,傅昆
傅崑棋,傅昆棋
傅萁崐,傅萁昆
備註,備注
傾覆,傾復
僞政權,偽政權
儘可能,盡可能
儘快,盡快
儘早,盡早
儘管,盡管
儘速,盡速
儘量,盡量
兇悍,凶悍
兇殺,凶殺
兇殺案,凶殺案
兇猛,凶猛
先後,先后
先發制人,先發製人
克制,克製
克里,克裡
克里姆林,克裡姆林
內裏,內裡
內閣制,內閣製
全軍覆沒,全軍復沒
兩份,兩分
兩棲,兩栖
兩院制,兩院製
兩隻,兩只
兩黨制,兩黨製
八里,八裡
公里,公裡
再髮,再發
出征,出徵
出臺,出台
分稅制,分稅製
划得來,劃得來
划算,劃算
制伏,製伏
制定,製定
制定者,製定者
制導,製導
制度,製度
制度化,製度化
制式,製式
制憲,製憲
制服,製服
制板,製板
制止,製止
制法,製法
制海權,製海權
制空,製空
制空權,製空權
制約,製約
制藥,製藥
制衡,製衡
制裁,製裁
制訂,製訂
制高點,製高點
剃髮,剃發
剋星,克星
副秘書長,副祕書長
劉建志,劉建誌
劉臺,劉台
加註,加注
動盪,動蕩
募兵制,募兵製
勳章,勛章
勵志,勵誌
包覆,包復
十萬份,十萬分
博士後,博士后
占上風,佔上風
反制,反製
受制,受製
受制於人,受製于人
可憐,可怜
合議制,合議製
同志,同誌
同志們,同誌們
名份,名分
名爲,名為
君主制,君主製
吳志,吳誌
周志宏,周誌宏
周志浩,周誌浩
周杰,周傑
哈里,哈裡
唸書,念書
嗣後,嗣后
嚐到,嘗到
嚐嚐,嘗嘗
嚐試,嘗試
嚐鮮,嘗鮮
嚮往,向往
四份,四分
回娘家,回孃家
回覆,回復
因為什麼,因為什么
因爲,因為
國際制裁,國際製裁
坐檯,坐台
埔里,埔裡
基準點,基准點
壓制,壓製
壽麵,壽面
外殼,外殻
多黨制,多黨製
大駡,大罵
奇蹟,奇跡
姚志平,姚誌平
姦詐,奸詐
娘娘,孃孃
孫迺翊,孫乃翊
學制,學製
學舍,學捨
宿舍,宿捨
實名制,實名製
實幹,實干
封建制度,封建製度
專制,專製
專幹,專干
小丑,小醜
小范,小範
尸位,屍位
尸位素餐,屍位素餐
山谷,山穀
崑薺,昆薺
巡迴,巡回
工作制,工作製
巴爾幹半島,巴爾干半島
市占率,市佔率
帝制,帝製
幫兇,幫凶
平臺,平台
庄及,莊及
庄哦,莊哦
康志遠,康誌遠
建制,建製
張啓凱,張啟凱
張志,張誌
強佔,強占
強制,強製
強制性,強製性
強姦犯,強奸犯
彆扭,別扭
彭啓,彭啟
影後,影后
彷彿,彷佛
征戰,徵戰
征服,徵服
征程,徵程
後半輩子,后半輩子
後無來者,后無來者
後臺,後台
徐豪杰,徐豪傑
徵兵制,徵兵製
德里,德裡
心臟,心髒
心臟病,心髒病
心裏,心裡
志偉,誌偉
志同道合,誌同道合
志向,誌向
志工,誌工
志願,誌願
志願軍,誌願軍
惡鬥,惡斗
意志,意誌
慰藉,慰借
憂鬱症,憂郁症
憐惜,怜惜
憑藉,憑借
戰鬥性,戰斗性
抑制,抑製
抬槓,抬杠
抵制,抵製
抵禦,抵御
拿破崙,拿破侖
掛鉤,掛鈎
採油,采油
採茶,采茶
控制,控製
控制住,控製住
控制權,控製權
撫卹,撫恤
擬於,擬于
收穫,收獲
改制,改製
敍事,敘事
數百公里,數百公裡
斜槓,斜杠
新制,新製
新娘,新孃
新臺幣,新台幣
早於,早于
明瞭,明了
曝曬,曝晒
曬太陽,晒太陽
曾志超,曾誌超
曾筑筠,曾築筠
月份,月分
有志,有誌
有賴於,有賴于
有鑒於,有鑑於
李志峰,李誌峰
李洪志,李洪誌
東征,東徵
林建志,林建誌
林志,林誌
林志剛,林誌剛
林志潔,林誌潔
柯志,柯誌
格鬥,格闘
梁志鳴,梁誌鳴
楊志良,楊誌良
榴彈砲,榴彈炮
槍桿子,槍杆子
槓桿,杠杆
模稜兩可,模棱兩可
機制,機製
機殼,機殻
機砲,機炮
檯面,台面
櫃檯,櫃台
歸因於,歸因于
殼體,殻體
毛髮,毛發
民衆,民眾
水砲,水炮
水錶,水表
氾濫,泛濫
氾濫成災,泛濫成災
河谷,河穀
法制,法製
法制化,法製化
淋灕盡致,淋漓盡致
深谷,深穀
準軍事,准軍事
滿坑滿谷,滿坑滿穀
火砲,火炮
火箭炮,火箭砲
為瞭,為了
無助於,無助于
無限制,無限製
爲何,為何
牴觸,抵觸
特里,特裡
牽制,牽製
犛牛,氂牛
王志中,王誌中
王志偉,王誌偉
王志安,王誌安
王志超,王誌超
理髮,理發
産生,產生
産量,產量
癥結,症結
發布,發佈,髮布
百公里,百公裡
皺摺,皺折
盪寇,蕩寇
省份,省分
瞭然,了然
瞭若指掌,了若指掌
瞭解,了解
矽谷,矽穀
砲兵,炮兵
砲塔,炮塔
砲戰,炮戰
砲火,炮火
砲車,炮車
砲轟,炮轟
神秘,神祕
神蹟,神跡
秘密,祕密
秘寶,祕寶
秘書,祕書
秘書處,祕書處
秘書長,祕書長
秘訣,祕訣
秘魯,祕魯
稅制,稅製
空殼,空殻
策畫,策劃
箝制,箝製
管制,管製
節制,節製
約占,約佔
細緻,細致
統制,統製
綑綁,捆綁
緣份,緣分
編制,編製
總統制,總統製
繃帶,綳帶
繡花針,綉花針
翻天覆地,翻天復地
翻覆,翻復
老娘,老孃
老闆,老板
老闆娘,老板孃
職志,職誌
股份,股分
脫殼,脫殻
脫鉤,脫鈎
腎臟,腎髒
腦震盪,腦震蕩
腰桿,腰杆
自制,自製
臺斤,台斤
臺灣,台灣
臺灣人,台灣人
臺版,台版
臺獨,台獨
舞臺,舞台
艦砲,艦炮
艾里,艾裡
芒果乾,芒果干
花拳繡腿,花拳綉腿
范奇,範奇
范姨,範姨
范琪,範琪
范耕,範耕
范范,範範
范茲沃,範茲沃
范訪,範訪
范雲,範雲
范雲立,範雲立
萬曆,萬歷
萬里,萬裡
蒐羅,搜羅
蒐集,搜集
蔡鴻杰,蔡鴻傑
蔣以後,蔣以后
藉以,借以
藉故,借故
藉此,借此
藉由,借由
藉著,借著
蘇制,蘇製
蘇志,蘇誌
蘇思云,蘇思雲
蘇杰,蘇傑
蘭後,蘭后
蛋殼,蛋殻
衆人,眾人
行兇,行凶
行會,公會
裁併,裁並
複查,復查
複選,復選
複雜化,復雜化
要迴,要回
覆滅,復滅
覆蓋率,復蓋率
覆議,復議
覆轍,復轍
許恒,許恆
註定,注定
註明,注明
語云,語雲
語彙,語匯
說不准,說不準
説到,說到
説說,說說
謝怡璇,謝怡璿
譚蕙芸,譚蕙藝
谷底,穀底
豔陽,艷陽
豪情壯志,豪情壯誌
貝殼,貝殻
貼標籤,貼標簽
跳樑小丑,跳樑小醜
身份,身分
身份證,身分證
迫擊砲,迫擊炮
迴避,回避
這份,這分
這麽,這麼
通姦,通奸
連絡,聯絡
遏制,遏製
選舉制,選舉製
選舉制度,選舉製度
遺志,遺誌
遺産,遺產
那裏,那裡
那隻,那只
那麽,那麼
邱志偉,邱誌偉
部份,部分
郭詠,郭咏
鄉愿,鄉願
